song_id,difficulty,difficulty_level,note_count,song_title_jpn,song_title_eng,bpm,playback_time_minutes,playback_time_seconds
1,easy,5,220,Tell Your World,Tell Your World,150,00:02:03,123.0
1,normal,10,492,Tell Your World,Tell Your World,150,00:02:03,123.0
1,hard,16,719,Tell Your World,Tell Your World,150,00:02:03,123.0
1,expert,22,961,Tell Your World,Tell Your World,150,00:02:03,123.0
1,master,26,1147,Tell Your World,Tell Your World,150,00:02:03,123.0
2,easy,7,166,ロキ,ROKI,150,00:01:47,107.0
2,normal,11,296,ロキ,ROKI,150,00:01:47,107.0
2,hard,17,635,ロキ,ROKI,150,00:01:47,107.0
2,expert,24,827,ロキ,ROKI,150,00:01:47,107.0
2,master,29,975,ロキ,ROKI,150,00:01:47,107.0
3,easy,9,135,テオ,Teo,185,00:01:56,116.0
3,normal,14,477,テオ,Teo,185,00:01:56,116.0
3,hard,19,681,テオ,Teo,185,00:01:56,116.0
3,expert,27,997,テオ,Teo,185,00:01:56,116.0
3,master,32,1221,テオ,Teo,185,00:01:56,116.0
6,easy,9,198,ヒバナ -Reloaded-,HIBANA -Reloaded-,200,00:01:35,95.0
6,normal,14,394,ヒバナ -Reloaded-,HIBANA -Reloaded-,200,00:01:35,95.0
6,hard,19,568,ヒバナ -Reloaded-,HIBANA -Reloaded-,200,00:01:35,95.0
6,expert,28,808,ヒバナ -Reloaded-,HIBANA -Reloaded-,200,00:01:35,95.0
6,master,32,1060,ヒバナ -Reloaded-,HIBANA -Reloaded-,200,00:01:35,95.0
8,easy,6,193,タイムマシン,Time Machine,126,00:02:04,124.0
8,normal,11,268,タイムマシン,Time Machine,126,00:02:04,124.0
8,hard,16,488,タイムマシン,Time Machine,126,00:02:04,124.0
8,expert,23,719,タイムマシン,Time Machine,126,00:02:04,124.0
8,master,27,903,タイムマシン,Time Machine,126,00:02:04,124.0
10,easy,6,127,ハッピーシンセサイザ,Happy Synthesizer,127,00:02:13,133.0
10,normal,11,437,ハッピーシンセサイザ,Happy Synthesizer,127,00:02:13,133.0
10,hard,18,685,ハッピーシンセサイザ,Happy Synthesizer,127,00:02:13,133.0
10,expert,24,859,ハッピーシンセサイザ,Happy Synthesizer,127,00:02:13,133.0
10,master,28,1136,ハッピーシンセサイザ,Happy Synthesizer,127,00:02:13,133.0
11,easy,6,126,ビバハピ,Viva Happy,148,00:01:34,94.0
11,normal,12,297,ビバハピ,Viva Happy,148,00:01:34,94.0
11,hard,17,367,ビバハピ,Viva Happy,148,00:01:34,94.0
11,expert,24,597,ビバハピ,Viva Happy,148,00:01:34,94.0
11,master,29,722,ビバハピ,Viva Happy,148,00:01:34,94.0
13,easy,6,134,Nostalogic,Nostalogic,140,00:02:00,120.0
13,normal,12,381,Nostalogic,Nostalogic,140,00:02:00,120.0
13,hard,17,462,Nostalogic,Nostalogic,140,00:02:00,120.0
13,expert,23,719,Nostalogic,Nostalogic,140,00:02:00,120.0
13,master,29,985,Nostalogic,Nostalogic,140,00:02:00,120.0
15,easy,6,156,drop pop candy,drop pop candy,130,00:01:46,106.0
15,normal,12,322,drop pop candy,drop pop candy,130,00:01:46,106.0
15,hard,17,546,drop pop candy,drop pop candy,130,00:01:46,106.0
15,expert,25,773,drop pop candy,drop pop candy,130,00:01:46,106.0
15,master,29,902,drop pop candy,drop pop candy,130,00:01:46,106.0
18,easy,8,229,アスノヨゾラ哨戒班,Night Sky Patrol of Tomorrow,185,00:02:08,128.0
18,normal,12,467,アスノヨゾラ哨戒班,Night Sky Patrol of Tomorrow,185,00:02:08,128.0
18,hard,17,765,アスノヨゾラ哨戒班,Night Sky Patrol of Tomorrow,185,00:02:08,128.0
18,expert,25,1073,アスノヨゾラ哨戒班,Night Sky Patrol of Tomorrow,185,00:02:08,128.0
18,master,29,1208,アスノヨゾラ哨戒班,Night Sky Patrol of Tomorrow,185,00:02:08,128.0
19,easy,6,128,シャルル,Charles,145,00:01:44,104.0
19,normal,11,338,シャルル,Charles,145,00:01:44,104.0
19,hard,17,562,シャルル,Charles,145,00:01:44,104.0
19,expert,23,701,シャルル,Charles,145,00:01:44,104.0
19,master,28,824,シャルル,Charles,145,00:01:44,104.0
21,easy,7,195,脱法ロック,Law-evading Rock,155,00:02:01,121.0
21,normal,13,405,脱法ロック,Law-evading Rock,155,00:02:01,121.0
21,hard,18,751,脱法ロック,Law-evading Rock,155,00:02:01,121.0
21,expert,26,972,脱法ロック,Law-evading Rock,155,00:02:01,121.0
21,master,31,1145,脱法ロック,Law-evading Rock,155,00:02:01,121.0
22,easy,9,120,命に嫌われている,Hated by Life,200,00:01:39,99.0
22,normal,14,367,命に嫌われている,Hated by Life,200,00:01:39,99.0
22,hard,18,515,命に嫌われている,Hated by Life,200,00:01:39,99.0
22,expert,26,756,命に嫌われている,Hated by Life,200,00:01:39,99.0
22,master,30,979,命に嫌われている,Hated by Life,200,00:01:39,99.0
26,easy,7,148,劣等上等,BRING IT ON,160,00:01:38,98.0
26,normal,12,371,劣等上等,BRING IT ON,160,00:01:38,98.0
26,hard,18,520,劣等上等,BRING IT ON,160,00:01:38,98.0
26,expert,25,825,劣等上等,BRING IT ON,160,00:01:38,98.0
26,master,30,952,劣等上等,BRING IT ON,160,00:01:38,98.0
27,easy,6,148,Just Be Friends,Just Be Friends,128,00:02:12,132.0
27,normal,11,410,Just Be Friends,Just Be Friends,128,00:02:12,132.0
27,hard,17,679,Just Be Friends,Just Be Friends,128,00:02:12,132.0
27,expert,23,811,Just Be Friends,Just Be Friends,128,00:02:12,132.0
27,master,28,989,Just Be Friends,Just Be Friends,128,00:02:12,132.0
28,easy,8,160,ドクター＝ファンクビート,Doctor=Funk Beat,150,00:02:07,127.0
28,normal,13,436,ドクター＝ファンクビート,Doctor=Funk Beat,150,00:02:07,127.0
28,hard,19,677,ドクター＝ファンクビート,Doctor=Funk Beat,150,00:02:07,127.0
28,expert,27,984,ドクター＝ファンクビート,Doctor=Funk Beat,150,00:02:07,127.0
28,master,32,1198,ドクター＝ファンクビート,Doctor=Funk Beat,150,00:02:07,127.0
36,easy,9,266,ミラクルペイント,Miracle Paint,215,00:02:26,146.0
36,normal,12,618,ミラクルペイント,Miracle Paint,215,00:02:26,146.0
36,hard,18,812,ミラクルペイント,Miracle Paint,215,00:02:26,146.0
36,expert,25,1300,ミラクルペイント,Miracle Paint,215,00:02:26,146.0
36,master,30,1437,ミラクルペイント,Miracle Paint,215,00:02:26,146.0
38,easy,8,113,ブリキノダンス,BURIKI NO DANCE,172,00:01:39,99.0
38,normal,13,347,ブリキノダンス,BURIKI NO DANCE,172,00:01:39,99.0
38,hard,18,618,ブリキノダンス,BURIKI NO DANCE,172,00:01:39,99.0
38,expert,25,852,ブリキノダンス,BURIKI NO DANCE,172,00:01:39,99.0
38,master,30,967,ブリキノダンス,BURIKI NO DANCE,172,00:01:39,99.0
41,easy,5,151,スイートマジック,Sweet Magic,123,00:02:29,149.0
41,normal,12,399,スイートマジック,Sweet Magic,123,00:02:29,149.0
41,hard,18,659,スイートマジック,Sweet Magic,123,00:02:29,149.0
41,expert,24,920,スイートマジック,Sweet Magic,123,00:02:29,149.0
41,master,27,1224,スイートマジック,Sweet Magic,123,00:02:29,149.0
43,easy,6,122,ネクストネスト,NEXT NEST,128,00:02:07,127.0
43,normal,13,366,ネクストネスト,NEXT NEST,128,00:02:07,127.0
43,hard,18,715,ネクストネスト,NEXT NEST,128,00:02:07,127.0
43,expert,27,983,ネクストネスト,NEXT NEST,128,00:02:07,127.0
43,master,30,1131,ネクストネスト,NEXT NEST,128,00:02:07,127.0
44,easy,6,165,Hand in Hand,Hand in Hand,128,00:02:03,123.0
44,normal,13,427,Hand in Hand,Hand in Hand,128,00:02:03,123.0
44,hard,16,637,Hand in Hand,Hand in Hand,128,00:02:03,123.0
44,expert,23,809,Hand in Hand,Hand in Hand,128,00:02:03,123.0
44,master,28,1072,Hand in Hand,Hand in Hand,128,00:02:03,123.0
45,easy,6,139,39みゅーじっく！,39Music!,130,00:01:59,119.0
45,normal,11,339,39みゅーじっく！,39Music!,130,00:01:59,119.0
45,hard,16,539,39みゅーじっく！,39Music!,130,00:01:59,119.0
45,expert,23,839,39みゅーじっく！,39Music!,130,00:01:59,119.0
45,master,28,1039,39みゅーじっく！,39Music!,130,00:01:59,119.0
46,easy,9,237,グリーンライツ・セレナーデ,Greenlights Serenade,200,00:02:05,125.0
46,normal,14,413,グリーンライツ・セレナーデ,Greenlights Serenade,200,00:02:05,125.0
46,hard,19,770,グリーンライツ・セレナーデ,Greenlights Serenade,200,00:02:05,125.0
46,expert,27,1034,グリーンライツ・セレナーデ,Greenlights Serenade,200,00:02:05,125.0
46,master,31,1174,グリーンライツ・セレナーデ,Greenlights Serenade,200,00:02:05,125.0
47,easy,7,286,メルト,Melt,170,00:03:02,182.0
47,normal,12,684,メルト,Melt,170,00:03:02,182.0
47,hard,17,1056,メルト,Melt,170,00:03:02,182.0
47,expert,25,1363,メルト,Melt,170,00:03:02,182.0
47,master,29,1586,メルト,Melt,170,00:03:02,182.0
48,easy,7,307,ワールドイズマイン,The World is Mine,102-165,00:02:50,170.0
48,normal,13,614,ワールドイズマイン,The World is Mine,102-165,00:02:50,170.0
48,hard,17,899,ワールドイズマイン,The World is Mine,102-165,00:02:50,170.0
48,expert,24,1248,ワールドイズマイン,The World is Mine,102-165,00:02:50,170.0
48,master,29,1417,ワールドイズマイン,The World is Mine,102-165,00:02:50,170.0
49,easy,9,376,初音ミクの消失,THE END OF HATSUNE MIKU,240,00:02:23,143.0
49,normal,15,751,初音ミクの消失,THE END OF HATSUNE MIKU,240,00:02:23,143.0
49,hard,22,1116,初音ミクの消失,THE END OF HATSUNE MIKU,240,00:02:23,143.0
49,expert,30,1502,初音ミクの消失,THE END OF HATSUNE MIKU,240,00:02:23,143.0
49,master,35,1666,初音ミクの消失,THE END OF HATSUNE MIKU,240,00:02:23,143.0
50,easy,5,111,Blessing,Blessing,110,00:02:12,132.0
50,normal,11,347,Blessing,Blessing,110,00:02:12,132.0
50,hard,16,631,Blessing,Blessing,110,00:02:12,132.0
50,expert,23,859,Blessing,Blessing,110,00:02:12,132.0
50,master,27,986,Blessing,Blessing,110,00:02:12,132.0
51,easy,6,122,セカイはまだ始まってすらいない,The World Hasn't Even Started Yet,138,00:02:01,121.0
51,normal,13,400,セカイはまだ始まってすらいない,The World Hasn't Even Started Yet,138,00:02:01,121.0
51,hard,16,565,セカイはまだ始まってすらいない,The World Hasn't Even Started Yet,138,00:02:01,121.0
51,expert,24,774,セカイはまだ始まってすらいない,The World Hasn't Even Started Yet,138,00:02:01,121.0
51,master,29,1027,セカイはまだ始まってすらいない,The World Hasn't Even Started Yet,138,00:02:01,121.0
52,easy,5,103,potatoになっていく,Becoming Potatoes,116,00:01:47,107.0
52,normal,11,243,potatoになっていく,Becoming Potatoes,116,00:01:47,107.0
52,hard,17,400,potatoになっていく,Becoming Potatoes,116,00:01:47,107.0
52,expert,24,721,potatoになっていく,Becoming Potatoes,116,00:01:47,107.0
52,master,29,863,potatoになっていく,Becoming Potatoes,116,00:01:47,107.0
54,easy,5,96,Ready Steady,Ready Steady,115,00:01:32,92.0
54,normal,10,238,Ready Steady,Ready Steady,115,00:01:32,92.0
54,hard,16,403,Ready Steady,Ready Steady,115,00:01:32,92.0
54,expert,25,564,Ready Steady,Ready Steady,115,00:01:32,92.0
54,master,29,667,Ready Steady,Ready Steady,115,00:01:32,92.0
55,easy,6,141,Forward,Forward,140,00:01:55,115.0
55,normal,11,281,Forward,Forward,140,00:01:55,115.0
55,hard,16,449,Forward,Forward,140,00:01:55,115.0
55,expert,24,737,Forward,Forward,140,00:01:55,115.0
55,master,28,895,Forward,Forward,140,00:01:55,115.0
57,easy,8,153,アイドル新鋭隊,Newly Edgy Idols,176,00:01:46,106.0
57,normal,12,343,アイドル新鋭隊,Newly Edgy Idols,176,00:01:46,106.0
57,hard,17,497,アイドル新鋭隊,Newly Edgy Idols,176,00:01:46,106.0
57,expert,24,754,アイドル新鋭隊,Newly Edgy Idols,176,00:01:46,106.0
57,master,29,940,アイドル新鋭隊,Newly Edgy Idols,176,00:01:46,106.0
60,easy,8,190,悔やむと書いてミライ,Composing the Future,194,00:01:40,100.0
60,normal,13,440,悔やむと書いてミライ,Composing the Future,194,00:01:40,100.0
60,hard,17,541,悔やむと書いてミライ,Composing the Future,194,00:01:40,100.0
